Rank,lemma,Frequency_Score,pos,english_definition,example_vi,example_en
1011,e,5.17,verb,"to be afraid, shy; possibly",Tớ e là không được rồi.,I'm afraid it won't work.
1012,hẳn,5.17,adverb,"certainly, definitely, entirely",Chắc hẳn là cô ấy thích bạn.,She must definitely like you.
1013,kháng,5.17,verb,"to resist, oppose",Họ kháng cự rất quyết liệt.,They resisted fiercely.
1014,loài,5.17,noun,"species, kind, type",Đây là một loài hoa quý.,This is a rare species of flower.
1015,loạn,5.17,adjective,"chaotic, messy, disordered",Đồ đạc vứt loạn hết cả lên.,"Things are thrown around, all messy."
1016,nhiễm,5.17,verb,"to be infected, contaminated",Anh ấy bị nhiễm virus.,He was infected with a virus.
1017,sa,5.17,verb,"to fall, descend, drop",Nó đã sa chân vào vũng lầy.,He has fallen into a quagmire.
1018,v,5.17,interjection,colloquial affirmative/acknowledgement sound,"V, để tớ xem.","Okay, let me see."
1019,võ,5.17,noun,"martial arts, military",Anh ấy giỏi võ lắm.,He is very good at martial arts.
1020,vết,5.17,noun,"trace, mark, scar",Vết sẹo này là từ hồi bé.,This scar is from childhood.
1021,xúc,5.17,verb,to scoop; to touch,Xúc đất vào thùng đi.,Scoop the dirt into the bin.
1022,đỡ,5.17,verb,to support; to help; to lessen,Đỡ tôi dậy với.,Help me up.
1023,buồn,5.16,adjective,sad; sorrowful; unhappy,Hôm nay tôi buồn quá.,I'm so sad today.
1024,chim,5.16,noun,bird,Con chim đang hót.,The bird is singing.
1025,chu,5.16,verb,to pout; to pucker (lips),Em bé chu môi dễ thương.,The baby pouts cutely.
1026,chữa,5.16,verb,to cure; to fix; to correct,Bác sĩ đang chữa bệnh.,The doctor is treating the illness.
1027,cưới,5.16,verb,to marry; to wed,Hai người họ sắp cưới.,They are about to get married.
1028,diệt,5.16,verb,to destroy; to exterminate; to kill,Chúng ta cần diệt chuột.,We need to exterminate rats.
1029,dõi,5.16,verb,to watch closely; to follow,Cô ấy đang dõi theo anh.,She is watching him closely.
1030,giản,5.16,adjective,simple; plain; uncomplicated,Bài toán này đơn giản.,This math problem is simple.
1031,gắng,5.16,verb,to try hard; to strive,Cố gắng lên nhé!,Try your best!
1032,hề,5.16,noun,clown; jester,Ông chú làm hề rất giỏi.,My uncle is very good at being a clown.
1033,lính,5.16,noun,soldier; private,Anh ấy là một người lính.,He is a soldier.
1034,mùi,5.16,noun,smell; odor; scent,Có mùi gì lạ thế?,What's that strange smell?
1035,quên,5.16,verb,to forget,Đừng quên lời hứa nhé.,Don't forget your promise.
1036,rơi,5.16,verb,to fall; to drop,Lá cây đang rơi.,Tree leaves are falling.
1037,sàng,5.16,noun,sieve; to sift,Dùng cái sàng để lọc gạo.,Use the sieve to sort rice.
1038,sóc,5.16,noun,squirrel,Con sóc chạy nhanh thật.,The squirrel runs so fast.
1039,sạch,5.16,adjective,clean; spotless,Nhà cửa sạch sẽ quá.,The house is so clean.
1040,thôn,5.16,noun,hamlet; small village,Anh ấy sống ở thôn quê.,He lives in the countryside village.
1041,tạm,5.16,adverb,"temporarily, for now, provisional",Tạm dừng ở đây nhé.,Let's stop here for now.
1042,tả,5.16,verb,"to describe, to depict",Bạn tả chi tiết hơn đi.,Please describe in more detail.
1043,tấm,5.16,classifier,"sheet, piece (flat object)",Cho tôi một tấm ảnh.,Give me a photo.
1044,đám,5.16,classifier,"group, crowd, celebration",Cái đám thanh niên kia ồn quá.,That group of young people is too noisy.
1045,chỉnh,5.15,verb,"to adjust, to correct, to fix",Chỉnh lại dây đàn đi.,Adjust the guitar string.
1046,dầu,5.15,noun,"oil, fat",Hết dầu ăn rồi.,We're out of cooking oil.
1047,hộp,5.15,noun,"box, container",Cho tôi một hộp sữa.,Give me a box of milk.
1048,kì,5.15,adjective,"strange, odd, peculiar",Chuyện này kì quá!,This is so strange!
1049,nổ,5.15,verb,"to explode, to fire (gun)",Pháo nổ đùng đùng.,Firecrackers exploded loudly.
1050,thỏa,5.15,verb,"to satisfy, to fulfill, to agree",Chúng ta cần thỏa thuận.,We need to agree.
1051,thờ,5.15,verb,"to worship, to adore",Người Việt thờ cúng tổ tiên.,Vietnamese people worship ancestors.
1052,vinh,5.15,noun,"glory, honor",Đó là vinh dự của tôi.,That is my honor.
1053,vân,5.15,noun,"cloud, pattern, grain",Vân gỗ này đẹp ghê.,This wood grain is beautiful.
1054,web,5.15,noun,"web, internet",Tôi vừa lướt web xong.,I just surfed the web.
1055,đón,5.15,verb,"to welcome, to pick up",Tôi sẽ đón bạn ở sân bay.,I will pick you up at the airport.
1056,đợi,5.15,verb,to wait,Đợi tôi một lát nhé.,Wait for me a moment.
1057,bày,5.14,verb,"to display, to arrange, to show",Anh ấy bày trò nghịch.,He's playing tricks.
1058,bụng,5.14,noun,"stomach, belly",Bụng tôi đói cồn cào.,My stomach is rumbling with hunger.
1059,hồn,5.14,noun,"soul, spirit, ghost",Tôi tin có hồn ma.,I believe in ghosts.
1060,loạt,5.14,classifier,"series, batch, volley",Một loạt tiếng súng nổ.,A volley of gunshots.
1061,lành,5.14,adjective,"good, healthy, intact, harmless",Cái bát này còn lành nguyên.,This bowl is still perfectly intact.
1062,nâng,5.14,verb,"lift, raise, support",Bạn nâng cái hộp này giúp tôi.,Please help me lift this box.
1063,rối,5.14,adjective,"tangled, messy, confused",Tóc bạn bị rối hết rồi kìa.,Your hair is all tangled up.
1064,sắt,5.14,verb,"to chop, to slice finely",Mẹ đang sắt hành lá.,Mom is slicing green onions.
1065,tam,5.14,noun,three; triple (in compounds),Đây là tam giác đều.,This is an equilateral triangle.
1066,đẩy,5.14,verb,"push, shove, propel",Bạn đẩy cửa vào đi.,You push the door open.
1067,bạch,5.13,adjective,white (in compounds/formal),Con bạch mã rất đẹp.,The white horse is very beautiful.
1068,chó,5.13,noun,dog,Nhà tôi có một con chó.,My family has a dog.
1069,cơn,5.13,classifier,"spell, fit, bout, wave",Trời đang có cơn mưa rào.,There's a sudden shower now.
1070,lượt,5.13,noun,"turn, round, occasion",Đến lượt bạn rồi đó.,It's your turn now.
1071,lối,5.13,noun,"way, path, style, entrance",Lối vào đây ở đâu ạ?,Where is the entrance here?
1072,nỗi,5.13,classifier,"sorrow, pain, trouble (classifier)",Cô ấy đang chịu nhiều nỗi buồn.,She is experiencing much sadness.
1073,nửa,5.13,adjective,"half, a half",Cho tôi nửa cái bánh.,Give me half the cake.
1074,thăm,5.13,verb,"visit, call on",Chiều nay tôi sẽ đi thăm bạn.,This afternoon I will visit my friend.
1075,trải,5.13,verb,"spread, experience, undergo",Bạn trải thảm ra đi.,Please spread out the rug.
1076,tá,5.13,noun,a dozen,Mua cho tôi một tá trứng.,Buy me a dozen eggs.
1077,chóng,5.12,adverb,"quickly, soon, in no time",Bạn về chóng thế?,You came home so quickly?
1078,game,5.12,noun,game (loanword),Tôi thích chơi game lắm.,I really like playing games.
1079,h,5.12,particle,informal question particle (shorthand for 'hả'),Bạn đi đâu h?,"Where are you going, huh?"
1080,khắp,5.12,adverb,"everywhere, all over",Mưa rơi khắp nơi rồi.,It's raining everywhere now.
1081,khủng,5.12,adjective,"Massive, terrible, enormous",Cái giá này khủng khiếp!,This price is terrible!
1082,mắc,5.12,verb,"To contract, to get stuck",Đừng để bị mắc mưa.,Don't get caught in the rain.
1083,n,5.12,pronoun (informal),Informal 'nó' (it/he/she),N đâu rồi?,Where is it/he/she?
1084,new,5.12,adjective,"New, fresh, novel",Hàng new về chưa?,Have the new goods arrived yet?
1085,nguyện,5.12,verb,"To vow, to wish, a wish",Tôi nguyện sẽ cố gắng.,I vow to try my best.
1086,ngũ,5.12,adjective (Sino-Vietnamese),Five (Sino-Vietnamese root),Mâm ngũ quả Tết.,Tet's five-fruit tray.
1087,nắm,5.12,verb,"To grasp, to hold; a fist",Nắm chặt tay tôi.,Hold my hand tightly.
1088,quà,5.12,noun,"Gift, present, souvenir",Mua quà về cho mẹ.,Buy a gift for mom.
1089,thuê,5.12,verb,"To rent, to hire",Mình thuê nhà ở đây.,I rent a house here.
1090,thập,5.12,adjective (Sino-Vietnamese),Ten (Sino-Vietnamese root),Thập niên 90.,The 90s decade.
1091,đậu,5.12,verb,"To park, to perch; bean",Đừng đậu xe ở đây.,Don't park the car here.
1092,bom,5.11,noun,Bomb,Có tiếng bom nổ.,There was a bomb explosion.
1093,bạc,5.11,noun,Silver; money; faded,Màu bạc đẹp đấy.,Silver color looks nice.
1094,dừng,5.11,verb,"To stop, to cease",Dừng lại ngay!,Stop right now!
1095,khánh,5.11,noun (Sino-Vietnamese),"Bell; prosperity, celebration",Lễ khánh thành nhà mới.,New house inauguration ceremony.
1096,ko,5.11,particle (informal),"Informal 'không' (no, not)",Mai đi ko?,Are we going tomorrow or not?
1097,màn,5.11,noun,"Curtain, screen, scene",Kéo màn lại đi.,Close the curtain.
1098,mộ,5.11,noun,"Grave, tomb; to admire",Đi thăm mộ ông bà.,Go visit grandparents' grave.
1099,ngược,5.11,adjective,"Opposite, reverse, against",Đi ngược chiều rồi.,Going the wrong/opposite way.
1100,nợ,5.11,noun,Debt; to owe,Tôi nợ bạn 100 nghìn.,I owe you 100 thousand.
1101,thổ,5.11,noun,"soil, earth, land",Đất thổ ở đây màu mỡ lắm.,The soil here is very fertile.
1102,tiện,5.11,adjective,"convenient, handy, easy",Cái này tiện thật đấy.,This is really convenient.
1103,triều,5.11,noun,"tide, court, dynasty",Nước triều lên rồi.,The tide has risen.
1104,tắm,5.11,verb,"to bathe, take a bath",Tôi đi tắm đây.,I'm going to take a bath.
1105,0,5.1,numeral,"zero, naught, none",Bây giờ là 0 giờ sáng.,It's 0 AM now.
1106,bãi,5.1,noun,"beach, sandbar, field",Chiều nay ra bãi biển nhé.,Let's go to the beach this afternoon.
1107,chùa,5.1,noun,"pagoda, Buddhist temple",Đi lễ chùa đầu năm.,Go to the pagoda for New Year's ceremony.
1108,chảy,5.1,verb,"to flow, to run, to stream",Nước sông chảy rất xiết.,The river flows very strongly.
1109,già,5.1,adjective,"old, aged, elderly",Bà tôi đã già rồi.,My grandmother is old now.
1110,hảo,5.1,adjective,"good, fine, excellent",Rượu này là hảo hạng đấy.,This wine is excellent.
1111,lông,5.1,noun,"feather, fur, body hair",Con mèo có bộ lông đẹp.,The cat has beautiful fur.
1112,ngừng,5.1,verb,"to stop, to cease, to halt",Xin hãy ngừng nói chuyện.,Please stop talking.
1113,of,5.1,foreign word,"English preposition, not Vietnamese",(Không phải từ tiếng Việt),(Not a Vietnamese word)
1114,sung,5.1,noun,fig (fruit or tree),Quả sung ăn hơi chát.,Figs taste a bit astringent.
1115,thác,5.1,noun,"waterfall, cascade",Thác nước này đẹp lắm.,This waterfall is very beautiful.
1116,uy,5.1,noun,"prestige, power, might",Người lãnh đạo phải có uy.,A leader must have authority.
1117,ẩm,5.1,adjective,"damp, moist, humid",Không khí hôm nay hơi ẩm.,The air today is a bit humid.
1118,bọn,5.09,pronoun,"they, those (informal/derogatory)",Bọn nó đi đâu rồi?,Where did they go?
1119,bốn,5.09,numeral,four (number),Có bốn người ở đây.,There are four people here.
1120,chặt,5.09,verb,"to chop, to cut down",Bố đang chặt cây ngoài vườn.,Dad is chopping trees in the garden.
1121,cát,5.09,noun,"sand, grit",Bãi biển nhiều cát lắm.,The beach has a lot of sand.
1122,hút,5.09,verb,"to suck, to smoke",Anh ấy hút thuốc nhiều lắm.,He smokes a lot.
1123,liền,5.09,adverb,"immediately, right away",Gọi điện cái là đến liền.,"Call, and I'll come right away."
1124,não,5.09,noun,"brain, cerebrum",Não người phức tạp lắm.,The human brain is very complex.
1125,trại,5.09,noun,"camp, farm",Tối nay đi cắm trại không?,Shall we go camping tonight?
1126,tù,5.09,noun,"prisoner, jail",Anh ấy vừa ra tù.,He just got out of prison.
1127,tắt,5.09,verb,"to turn off, extinguish",Nhớ tắt đèn trước khi ngủ.,Remember to turn off the light before sleeping.
1128,đà,5.09,noun,"momentum, impetus",Phải giữ đà phát triển này.,Must maintain this development momentum.
1129,bậc,5.08,noun,"step, grade, rank",Cẩn thận bậc thang đấy.,Be careful of the stairs.
1130,giáp,5.08,verb,"to be adjacent, to meet",Nhà tôi giáp với nhà anh ấy.,My house is next to his.
1131,mực,5.08,noun,"ink, squid",Tớ thích ăn mực nướng.,I like eating grilled squid.
1132,no,5.08,adjective,"full (from eating), satisfied","Ăn xong rồi, no căng bụng.","Finished eating, completely full."
1133,s,5.08,particle,indicates future tense (sẽ),Ngày mai tôi sẽ đi chơi.,Tomorrow I will go out.
1134,thọ,5.08,verb,"to live long, longevity",Bà tôi sống rất thọ.,My grandmother lived very long.
1135,tắc,5.08,verb,"to be blocked, stuck","Đường tắc quá, đi làm muộn rồi.","The road is too blocked, I'm late for work."
1136,website,5.08,noun,website (loanword),Tôi vừa xem website của họ.,I just checked their website.
1137,xinh,5.08,adjective,"pretty, beautiful, cute",Con bé này xinh thật đấy.,This girl is really pretty.
1138,đèn,5.08,noun,"lamp, light","Bật đèn lên đi, tối quá.","Turn on the light, it's too dark."
1139,đỉnh,5.08,noun,"peak, summit, top",Chúng tôi đã leo lên đỉnh núi.,We climbed to the top of the mountain.
1140,ẩn,5.08,verb,"to hide, to be hidden","Tìm mãi không thấy, chắc nó ẩn rồi.","Couldn't find it after searching, it must be hidden."
1141,bang,5.07,verb,"to cross, to go straight",Đừng bang qua đường ẩu.,Don't cross the road carelessly.
1142,chậm,5.07,adjective,"slow, late",Anh ấy đi chậm quá.,He walks too slowly.
1143,chụp,5.07,verb,"to take (photo), to catch",Chụp hộ tôi tấm ảnh nhé.,Please take a photo for me.
1144,hoá,5.07,verb,"to change, to transform",Nước đá hoá thành nước.,Ice turns into water.
1145,hài,5.07,adjective,"funny, humorous, comical",Bộ phim này hài ghê.,This movie is really funny.
1146,hào,5.07,noun,1/10 of a đồng (currency),Cái kẹo này hai hào.,This candy costs two hào.
1147,hẹn,5.07,verb,"to make appointment, to promise",Mình hẹn gặp lúc 7h nhé.,Let's meet at 7 PM.
1148,ngàn,5.07,numeral,thousand,Giá vé là một ngàn đồng.,The ticket price is one thousand dong.
1149,săn,5.07,verb,"to hunt, to chase",Anh ấy thích đi săn.,He likes to go hunting.
1150,sổ,5.07,noun,"notebook, ledger, register",Cho tôi mượn quyển sổ nhé.,Can I borrow your notebook?
1151,thang,5.07,noun,"ladder, elevator, scale",Mình đi thang máy nhé.,Let's take the elevator.
1152,thước,5.07,noun,"ruler, unit of length (meter)",Cho tôi mượn cái thước.,Lend me the ruler.
1153,thở,5.07,verb,to breathe,Em bé đang ngủ và thở đều.,The baby is sleeping and breathing steadily.
1154,tặng,5.07,verb,"to give, to present (a gift)",Tôi tặng bạn cuốn sách này.,I'm giving you this book.
1155,tờ,5.07,classifier,"sheet, page, flat object classifier",Cho tôi xin một tờ giấy.,Can I have a sheet of paper?
1156,can,5.06,verb,"to intervene, to dissuade",Đừng can thiệp vào chuyện này.,Don't intervene in this matter.
1157,cháy,5.06,verb,"to burn, to be on fire",Cẩn thận kẻo cháy nhà đấy.,"Be careful, the house might catch fire."
1158,d,5.06,noun,the letter 'd',Chữ d là chữ cái thứ tư.,The letter 'd' is the fourth letter.
1159,giành,5.06,verb,"to snatch, to compete for, to win",Anh ấy giành được giải nhất.,He won first prize.
1160,gà,5.06,noun,chicken,Tối nay mình ăn gà rán nhé.,Let's eat fried chicken tonight.
1161,hổ,5.06,noun,tiger,Con hổ kia to ghê.,That tiger is huge.
1162,khiển,5.06,verb,"to reprimand, scold",Nó bị khiển vì làm ồn.,He was reprimanded for making noise.
1163,khổ,5.06,adjective,"difficult, hard, miserable",Đời sống của anh ấy khổ lắm.,His life is very miserable.
1164,kênh,5.06,noun,"canal, channel",Kênh này nước chảy xiết.,The water in this channel flows swiftly.
1165,mệnh,5.06,noun,"fate, destiny",Mệnh của anh ấy tốt đấy.,His fate is good.
1166,nghề,5.06,noun,"occupation, profession, trade",Nghề của tôi là giáo viên.,My profession is a teacher.
1167,phái,5.06,verb,"to send, dispatch",Họ phái người đi điều tra.,They dispatched someone to investigate.
1168,thù,5.06,noun,"enemy, foe, grudge",Hắn là kẻ thù của tôi.,He is my enemy.
1169,thạch,5.06,noun,jelly (food),Mẹ làm thạch rau câu ngon lắm.,Mom makes delicious jelly.
1170,trấn,5.06,noun,"town, district (historical)",Ngày xưa có nhiều trấn lớn.,"In the past, there were many large towns."
1171,tùy,5.06,particle,"depending on, according to",Tùy bạn chọn thôi.,It's up to you to choose.
1172,đẳng,5.06,noun,"rank, level, grade",Anh ấy đứng đẳng cao nhất.,He stands at the highest rank.
1173,đế,5.06,noun,"base, sole (of shoe)",Đế giày này bị hỏng rồi.,The sole of this shoe is broken.
1174,hè,5.05,noun,summer,Mùa hè năm nay nóng lắm.,This summer is very hot.
1175,lưng,5.05,noun,back (body part),Tôi bị đau lưng quá.,My back hurts a lot.
1176,mạc,5.05,noun,"membrane, film, thin layer",Bóc lớp mạc trên bề mặt.,Peel off the film on the surface.
1177,quê,5.05,noun,"hometown, countryside",Quê tôi ở Bắc Giang.,My hometown is in Bac Giang.
1178,tan,5.05,verb,"to melt, dissolve, scatter",Băng tan rất nhanh.,The ice melts very quickly.
1179,thuyền,5.05,noun,"boat, ship",Con thuyền đang ra khơi.,The boat is heading out to sea.
1180,trào,5.05,verb,"to overflow, gush, erupt",Nước mắt trào ra.,Tears gushed out.
1181,trông,5.05,verb,"to look, watch, take care",Trông nhà hộ tôi nhé.,Please watch the house for me.
1182,tô,5.05,verb,"to color, paint, apply",Tô màu bức tranh này đi.,Color this picture.
1183,đệ,5.05,noun,"younger brother, junior, disciple",Anh ấy là đệ của thầy giáo.,He is the teacher's disciple.
1184,bờ,5.04,noun,"bank, shore, edge",Đứng trên bờ sông đợi tôi.,Stand on the river bank and wait for me.
1185,dàng,5.04,verb,"to arrange, spread out",Dàng mọi thứ ra khắp phòng.,Spread everything out across the room.
1186,dậy,5.04,verb,"to wake up, teach",Dậy đi học muộn rồi!,"Get up, it's late for school!"
1187,dị,5.04,adjective,"strange, unusual, peculiar",Cách ăn mặc của cô ấy trông dị lắm.,Her way of dressing looks very strange.
1188,dọa,5.04,verb,"to scare, threaten, intimidate",Đừng có dọa tôi!,Don't threaten me!
1189,gắn,5.04,verb,"to attach, connect, stick",Gắn cái này vào tường đi.,Attach this to the wall.
1190,lỗ,5.04,noun,"hole, financial loss",Có một cái lỗ trên tường.,There's a hole in the wall.
1191,mê,5.04,verb,"to be fascinated, obsessed",Tôi mê lắm quyển sách này.,I'm really fascinated by this book.
1192,mười,5.04,numeral,ten,Tôi có mười quả táo.,I have ten apples.
1193,mắn,5.04,adjective,"fertile, prolific, skillful",Bà ấy rất mắn đẻ.,She's very fertile.
1194,phiếu,5.04,noun,"ticket, coupon, ballot",Đưa tôi xem phiếu giảm giá.,Show me the discount coupon.
1195,quỹ,5.04,noun,"fund, treasury, foundation",Quỹ từ thiện đó rất lớn.,That charity fund is very large.
1196,trữ,5.04,verb,"to store, preserve, hoard",Họ trữ đồ ăn trong kho.,They store food in the warehouse.
1197,đo,5.04,verb,"to measure, gauge, estimate",Đo giúp tôi chiều dài cái bàn.,Please measure the length of the table for me.
1198,ưu,5.04,noun,"advantage, superiority, excellence",Chọn cái nào có nhiều ưu.,Choose the one with many advantages.
1199,bò,5.03,verb,"to crawl, creep",Em bé đang bò trên sàn nhà.,The baby is crawling on the floor.
1200,bật,5.03,verb,"to turn on, switch on, bounce","Bật đèn lên đi, tối quá!","Turn on the light, it's too dark!"
1201,giường,5.03,noun,"bed, sleeping surface",Em bé đang ngủ trên giường.,The baby is sleeping on the bed.
1202,kêu,5.03,verb,"to call, shout, cry (animal)",Ai vừa kêu tên tôi đấy?,Who just called my name?
1203,mũi,5.03,noun,nose; mosquito,Anh ấy có cái mũi cao.,He has a high nose.
1204,ngô,5.03,noun,"corn, maize",Tôi thích ăn bắp ngô luộc.,I like eating boiled corn.
1205,thẩm,5.03,verb,"to penetrate, to assess",Nước mưa thẩm qua mái nhà.,Rainwater penetrates through the roof.
1206,vĩ,5.03,noun,tail (of animal/kite),Con diều có cái vĩ dài.,The kite has a long tail.
1207,đáp,5.03,verb,"to answer, reply",Bạn đáp lời mình đi chứ!,Please answer me!
1208,cẩn,5.02,adjective,"careful, meticulous",Anh ấy làm việc rất cẩn.,He works very carefully.
1209,cặp,5.02,noun,pair; school bag,Tôi có một cặp sách mới.,I have a new school bag.
1210,dao,5.02,noun,knife,Lấy cho tôi cái dao thái thịt.,Get me the meat knife.
1211,hấp,5.02,verb,to steam (food),Mẹ tôi đang hấp bánh bao.,My mom is steaming buns.
1212,hỏng,5.02,adjective,"broken, damaged, spoiled",Cái điện thoại này bị hỏng rồi.,This phone is broken.
1213,khoản,5.02,noun,"item, sum, amount",Đây là khoản tiền cuối cùng.,This is the last sum of money.
1214,lộc,5.02,noun,"blessing, good fortune",Đầu năm thường đi hái lộc.,People often pick blessings at the start of the year.
1215,mệt,5.02,adjective,"tired, exhausted",Tôi làm việc cả ngày nên rất mệt.,I worked all day so I'm very tired.
1216,thăng,5.02,verb,"to rise, ascend",Con diều thăng lên trời cao.,The kite ascends high into the sky.
1217,địch,5.02,noun,"enemy, foe",Địch đang tiến công vào.,The enemy is advancing.
1218,ả,5.02,pronoun,"she, her (informal/derogatory)",Con ả này sao mà lắm chuyện thế!,Why is this girl so nosy!
1219,bề,5.01,noun,"aspect, side, surface",Bề nào cũng khó cả.,All aspects are difficult.
1220,chạm,5.01,verb,"to touch, collide",Đừng chạm vào đồ của tôi!,Don't touch my stuff!
1221,chặn,5.01,verb,"to block, obstruct, stop",Anh ấy chặn đường tôi lại.,He blocked my way.
1222,cương,5.01,verb,"to stiffen, become rigid/firm",Chân tay anh ấy cương lại.,His limbs stiffened.
1223,dưỡng,5.01,verb,"to nurture, nourish, cultivate",Cô ấy dưỡng da rất tốt.,She takes very good care of her skin.
1224,dạ,5.01,noun,"stomach, belly",Anh ấy đau dạ lắm.,He has a very bad stomachache.
1225,gió,5.01,noun,"wind, breeze",Ngoài trời gió to lắm.,It's very windy outside.
1226,giỏi,5.01,adjective,"good, excellent, capable, skillful",Con bé học giỏi lắm.,That girl studies very well.
1227,hỏa,5.01,noun,"fire, flame","Ngũ hành có Kim, Mộc, Thủy, Hỏa, Thổ.","The Five Elements are Metal, Wood, Water, Fire, Earth."
1228,lẫn,5.01,verb,"to confuse, be confused/senile",Ông cụ đã lẫn rồi.,The old man has become senile.
1229,sáu,5.01,numeral,six,Tôi có sáu cái bút.,I have six pens.
1230,tệ,5.01,adjective,"bad, terrible, awful",Trò này tệ quá.,This game is terrible.
1231,bồ,5.0,noun,"lover, significant other, sweetheart",Hôm nay bồ tôi đến chơi.,My sweetheart is coming to visit today.
1232,che,5.0,verb,"to cover, shield, hide",Che mặt lại đi.,Cover your face.
1233,giấc,5.0,noun,"sleep, dream",Chúc bạn ngủ ngon giấc.,Wish you a good night's sleep.
1234,họp,5.0,verb,"to meet, hold a meeting",Chúng ta họp lúc 9 giờ nhé.,Let's meet at 9 o'clock.
1235,hứng,5.0,verb,"to catch, receive, collect",Em hứng nước mưa vào chậu.,I collected rainwater in a basin.
1236,lí,5.0,noun,"reason, logic, principle",Bạn có lí do gì không?,Do you have any reason?
1237,mày,5.0,pronoun,"you (informal, often impolite)",Mày đi đâu đấy?,Where are you going?
1238,trồng,5.0,verb,"to plant, cultivate",Bố tôi thích trồng cây.,My father likes to plant trees.
1239,tán,5.0,verb,"to chat, flirt, talk",Anh ấy thích tán gái.,He likes to flirt with girls.
1240,tổn,5.0,verb,"to damage, harm, impair",Cẩn thận kẻo tổn sức.,Be careful not to harm your strength.
1241,cam,4.99,noun,orange (fruit),Tôi thích ăn cam sành.,I like eating honey oranges.
1242,dám,4.99,verb,"to dare, to have courage",Mày dám làm thế à?,Do you dare do that?
1243,ga,4.99,noun,"train station, gas",Tàu ra ga rồi.,The train has arrived at the station.
1244,ghế,4.99,noun,"chair, seat",Ngồi ghế này đi.,Sit on this chair.
1245,giây,4.99,noun,second (time unit),Chờ tôi một giây nhé.,Wait for me a second.
1246,giọng,4.99,noun,"voice, accent, tone",Giọng bạn hay quá.,Your voice is so good.
1247,gỗ,4.99,noun,"wood, timber",Cái bàn này làm bằng gỗ.,This table is made of wood.
1248,khám,4.99,verb,"to examine, to check",Đi khám bệnh đi.,Go get a medical check-up.
1249,miễn,4.99,verb,"exempt, free of charge",Vé vào cửa miễn phí.,Entrance tickets are free.
1250,ngang,4.99,adjective,"horizontal, across, equal",Anh ấy đi ngang qua.,He walked across.
1251,nhẹ,4.99,adjective,"light (weight), gentle, soft",Cái túi này nhẹ lắm.,This bag is very light.
1252,nỗ,4.99,bound morpheme,"component for 'effort', 'strive'",Bạn cần nỗ lực hơn.,You need to make more effort.
1253,thiệt,4.99,noun,"loss, damage; truly",Tôi bị thiệt mất tiền.,I lost money (suffered a loss).
1254,thua,4.99,verb,"to lose, to be defeated",Đội tôi lại thua rồi.,My team lost again.
1255,tri,4.99,bound morpheme,"component for 'know', 'knowledge'",Anh ấy có tri thức tốt.,He has good knowledge.
1256,tỉ,4.99,noun,"billion, ratio, percentage",Giá này một tỉ đồng.,This price is one billion VND.
1257,viễn,4.99,bound morpheme,"component for 'far', 'distant'",Họ làm về viễn thông.,They work in telecommunications.
1258,vỡ,4.99,verb,"to break, to burst, broken",Cái bát bị vỡ rồi.,The bowl is broken.
1259,york,4.99,noun,York (as in New York),Tôi muốn đi New York.,I want to go to New York.
1260,ác,4.99,adjective,"evil, wicked, cruel",Người đó thật là ác.,That person is truly evil.
1261,ống,4.99,noun,"tube, pipe, hose",Anh lấy hộ cái ống nước.,Please get me the water hose.
1262,bi,4.98,noun,"ball, marble, bearing",Mấy đứa trẻ đang chơi bi.,The children are playing marbles.
1263,giảng,4.98,verb,"lecture, explain, teach",Cô giáo giảng bài rất hay.,The teacher lectures very well.
1264,hoang,4.98,adjective,"wild, desolate, uncultivated",Cánh đồng này còn hoang lắm.,This field is still very wild.
1265,huyền,4.98,adjective,"mystical, legendary, dark",Chuyện về rồng nghe huyền lắm.,Stories about dragons sound very legendary.
1266,huấn,4.98,verb,"train, instruct, educate",Ông cụ hay huấn con cháu.,The old man often instructs his children.
1267,mông,4.98,noun,"buttock, bottom, hip",Đừng có vỗ vào mông tôi!,Don't pat my bottom!
1268,mưa,4.98,noun,"rain (noun), to rain (verb)",Trời sắp mưa rồi đấy.,It's about to rain.
1269,niềm,4.98,noun,forms abstract nouns of emotion,Niềm vui của tôi là đây.,My joy is here.
1270,tàn,4.98,adjective,"withered, decayed, faded",Bông hoa này đã tàn rồi.,This flower has withered.
1271,đuổi,4.98,verb,"chase, expel, dismiss",Mấy đứa trẻ đang đuổi nhau.,The children are chasing each other.
1272,đỗ,4.98,verb,"park, pass (exam), bean",Anh đỗ xe ở đâu?,Where did you park the car?
1273,bá,4.97,adjective,"awesome, dominant, outstanding (slang)",Nó chơi game bá lắm!,He plays games awesomely!
1274,cổng,4.97,noun,"gate, entrance, portal",Anh đợi tôi ở cổng nhé.,Wait for me at the gate.
1275,cờ,4.97,noun,"flag, chess, board game",Chúng tôi chơi cờ tướng.,We play Chinese chess.
1276,ha,4.97,interjection,ha (sound of laughter),"Ha ha ha, buồn cười quá!","Hahaha, so funny!"
1277,khô,4.97,adjective,"dry, dried, parched",Áo quần đã khô chưa?,Are the clothes dry yet?
1278,lầm,4.97,verb,"to be mistaken, to err","Bạn lầm rồi, không phải thế đâu.","You're mistaken, it's not like that."
1279,phức,4.97,adjective,"complex, complicated",Bài toán này phức quá.,This math problem is too complex.
1280,trục,4.97,noun,"axis, axle, shaft",Xe bị hỏng trục rồi.,The car's axle is broken.
